date,trend,open,close,high,low,volume,onedaychgnet,twochgnet,twohmovavg,fiftydaymovavg,onehmovavg,twentydmovavg,thirtydaymovavg,tendaymoveavg,fivedaymovavg,sixtydaymovavg,fortydaymovavg,onehtwentymovavg,volatilitytenday,twohvolatility,bac,bmo,rbc,td,sptsx,spx,sh,nikkei,hs,oil,brasil,usdcad,usdcny,usdjpy
4/27/2013,1,56.97,56.9,57.215,56.62,4898165,-0.07,-0.05,55.8116,59.0112,58.3682,57.4205,58.1283,56.925,56.824,58.9672,58.7797,57.659,12.84,10.629,12.42,63.3,60.02,40.55,12220.2,1582.24,2177.912,13884.13,22547.71,93,54252.04,1.0167,6.1651,98.05
4/28/2013,1,56.97,56.9,57.215,56.62,4898165,-0.07,-0.05,55.8116,59.0112,58.3682,57.4205,58.1283,56.925,56.824,58.9672,58.7797,57.659,12.84,10.629,12.42,63.3,60.02,40.55,12220.2,1582.24,2177.912,13884.13,22547.71,93,54252.04,1.0167,6.1651,98.05
4/29/2013,0,57.25,57.48,57.66,56.85,2824054,0.58,0.51,55.8337,58.9864,58.3869,57.347,58.0333,56.985,56.982,58.9477,58.6885,57.6843,11.453,10.559,12.38,62.69,60.64,41.02,12312.67,1593.61,2177.912,13884.13,22580.77,94.5,54887.25,1.0112,6.165,97.76
4/30/2013,0,57.5,58.09,58.29,57.02,4221638,0.61,1.19,55.8625,58.978,58.4101,57.297,57.975,57.024,57.278,58.9342,58.6182,57.7152,8.691,10.619,12.31,63.19,60.78,41.295,12456.5,1597.57,2177.912,13860.86,22737.01,93.46,55910.37,1.0073,6.1658,97.45
05/01/2013,0,58.2,57.83,58.35,57.5,3073771,-0.26,0.35,55.8905,58.9516,58.43,57.2845,57.914,57.124,57.454,58.9212,58.531,57.7483,9.312,10.63,12.14,62.37,60.55,41.065,12321.29,1582.7,2177.912,13799.35,22737.01,91.03,55910.37,1.0083,6.1658,97.39
05/02/2013,0,57.81,58.54,58.795,57.73,3386952,0.71,0.45,55.9225,58.9222,58.4598,57.3245,57.8807,57.301,57.768,58.92,58.4665,57.7902,10.809,10.711,12.19,62.72,60.8,41.425,12379.64,1597.59,2174.123,13694.04,22668.3,93.99,55321.93,1.0105,6.1556,97.94
05/03/2013,0,58.94,58.42,59,58.37,1735227,-0.12,0.59,55.9544,58.8922,58.4887,57.4005,57.858,57.448,58.072,58.913,58.4082,57.8287,10.303,10.704,12.24,62.6,61.09,41.37,12438.03,1614.42,2205.497,13694.04,22689.96,95.61,55488.08,1.008,6.1562,98.99
05/04/2013,0,58.94,58.42,59,58.37,1735227,-0.12,0.59,55.9544,58.8922,58.4887,57.4005,57.858,57.448,58.072,58.913,58.4082,57.8287,10.303,10.704,12.24,62.6,61.09,41.37,12438.03,1614.42,2205.497,13694.04,22689.96,95.61,55488.08,1.008,6.1562,98.99
05/05/2013,0,58.94,58.42,59,58.37,1735227,-0.12,0.59,55.9544,58.8922,58.4887,57.4005,57.858,57.448,58.072,58.913,58.4082,57.8287,10.303,10.704,12.24,62.6,61.09,41.37,12438.03,1614.42,2205.497,13694.04,22689.96,95.61,55488.08,1.008,6.1562,98.99
05/06/2013,0,58.42,58.67,58.84,58.41,1956361,0.25,0.13,55.9862,58.8588,58.516,57.4825,57.832,57.646,58.31,58.912,58.358,57.8678,9.896,10.694,12.88,62.47,61.36,41.42,12453.92,1617.5,2231.166,13694.04,22915.09,96.16,55429.88,1.0068,6.1666,99.33
